Comment,Designator,Footprint,LCSC,Quantity
Conn_Coaxial,"J1,J2,J3,J5,J6,J7,J8,J9",KH-BNC50-3511,C2837587,8
DB25_Pins_MountingHoles,J4,TE-5747842-4,C305948,1
